,index,dhlabid,urn,title,authors,nettbiblioteket,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
13,47,300033055,URN:NBN:no-nb_digitidsskrift_2019012281034_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1912 Vol . 26,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281034_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281034_001,c525d2b57686b7d779d7b4b87f668535,,Christiania,19120101,1912,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
14,20,300038076,URN:NBN:no-nb_digitidsskrift_2019012281036_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1913 Vol . 27,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281036_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281036_001,de12d2840ce02759d4401225bb4ffc7c,,Christiania,19130101,1913,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
15,37,300041850,URN:NBN:no-nb_digitidsskrift_2019012281038_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1897 Vol . 11,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281038_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281038_001,4fc2c785ee98e1f810213b07378d281f,,Christiania,18970101,1897,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
16,5,300044369,URN:NBN:no-nb_digitidsskrift_2019012281040_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1927 Vol . 41,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281040_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281040_001,19536ffd9c2df78c2a7af86020cb1235,,Christiania,19270101,1927,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
17,29,300033056,URN:NBN:no-nb_digitidsskrift_2019012281042_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1915 Vol . 29,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281042_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281042_001,9e9f87c1f924023dc2a2e3e79439c2a5,,Christiania,19150101,1915,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
18,66,300033057,URN:NBN:no-nb_digitidsskrift_2019012281044_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1916 Vol . 30,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281044_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281044_001,ecff00e544bafc67d0c737995c1804e8,,Christiania,19160101,1916,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
19,70,300033058,URN:NBN:no-nb_digitidsskrift_2019012281046_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1917 Vol . 31,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281046_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281046_001,e5246207e30ae81e6e92819eacbeb046,,Christiania,19170101,1917,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
20,35,300033059,URN:NBN:no-nb_digitidsskrift_2019012281048_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1918 Vol . 32,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281048_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281048_001,38bfbfa325250fad1ca0c3fa7c1d28ec,,Christiania,19180101,1918,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
21,11,300033060,URN:NBN:no-nb_digitidsskrift_2019012281050_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1922 Vol . 36,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281050_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281050_001,7ae3661a80c333ab7bb157efc3ce0c6f,,Christiania,19220101,1922,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
22,15,300033061,URN:NBN:no-nb_digitidsskrift_2019012281052_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1921 Vol . 35,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281052_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281052_001,0780141d17f3fc1b0dff9182de3f5d79,,Christiania,19210101,1921,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
